Tempo,Estacao,LAT,LONG,Original_473,Original_269,Zero,Maca_Verde,Tangerina,Citrus,Acai_Guarana,Pessego,TARGET
2018-06-16,Luz,-23.5365,-46.6332,86,54,37,17,6,12,31,15,REABASTECER
2018-09-05,Luz,-23.5365,-46.6332,86,25,21,19,43,13,30,32,NORMAL
2019-03-04,Luz,-23.5365,-46.6332,43,11,24,32,33,14,23,21,NORMAL
2019-05-03,Luz,-23.5365,-46.6332,86,7,21,32,12,37,40,27,NORMAL
2019-07-15,Luz,-23.5365,-46.6332,86,35,11,32,19,8,3,25,NORMAL
2019-09-23,Luz,-23.5365,-46.6332,28,15,51,7,43,18,5,33,NORMAL
2018-02-04,Ana Rosa,-23.5813,-46.6383,27,58,35,22,32,29,29,4,REABASTECER
2018-05-24,Ana Rosa,-23.5813,-46.6383,60,12,65,43,23,15,20,43,NORMAL
2018-09-16,Ana Rosa,-23.5813,-46.6383,25,12,24,33,18,27,35,14,NORMAL
2018-09-25,Ana Rosa,-23.5813,-46.6383,31,17,26,17,20,35,43,24,NORMAL
2018-10-11,Ana Rosa,-23.5813,-46.6383,67,59,31,10,32,22,33,43,NORMAL
2018-11-18,Ana Rosa,-23.5813,-46.6383,66,51,33,36,4,19,20,32,REABASTECER
2019-01-26,Ana Rosa,-23.5813,-46.6383,77,46,26,15,17,3,21,19,NORMAL
2019-02-03,Ana Rosa,-23.5813,-46.6383,13,10,48,33,32,27,31,33,NORMAL
2019-02-24,Ana Rosa,-23.5813,-46.6383,69,13,45,17,33,18,40,32,NORMAL
2019-03-04,Ana Rosa,-23.5813,-46.6383,62,22,40,25,37,27,6,43,NORMAL
2019-06-16,Ana Rosa,-23.5813,-46.6383,33,30,46,22,27,15,11,5,REABASTECER
2019-12-03,Ana Rosa,-23.5813,-46.6383,20,35,14,18,39,25,23,29,NORMAL
2018-02-25,São Joaquim,-23.5618,-46.6389,77,65,61,13,43,33,43,11,NORMAL
2018-03-06,São Joaquim,-23.5618,-46.6389,65,55,56,33,39,7,35,15,NORMAL
2018-05-10,São Joaquim,-23.5618,-46.6389,42,39,33,17,6,38,8,9,NORMAL
2018-06-01,São Joaquim,-23.5618,-46.6389,77,39,12,19,43,12,9,21,NORMAL
2018-08-30,São Joaquim,-23.5618,-46.6389,65,65,65,6,43,20,17,16,REABASTECER
2019-04-20,São Joaquim,-23.5618,-46.6389,10,19,51,43,29,13,27,19,REABASTECER
2019-05-21,São Joaquim,-23.5618,-46.6389,70,29,43,43,37,41,32,25,NORMAL
2019-06-08,São Joaquim,-23.5618,-46.6389,74,65,51,22,13,31,43,40,NORMAL
2019-08-17,São Joaquim,-23.5618,-46.6389,3,33,56,23,39,37,25,37,REABASTECER
2019-11-17,São Joaquim,-23.5618,-46.6389,14,11,65,33,16,18,32,39,NORMAL
2018-05-22,São Judas,-23.6255,-46.6411,32,59,29,40,40,41,16,9,NORMAL
2018-06-26,São Judas,-23.6255,-46.6411,49,57,52,37,26,35,27,1,REABASTECER
2018-10-20,São Judas,-23.6255,-46.6411,37,65,45,32,20,43,5,10,REABASTECER
2019-02-13,São Judas,-23.6255,-46.6411,6,32,55,1,24,10,14,21,NORMAL
2019-04-22,São Judas,-23.6255,-46.6411,29,65,25,25,28,34,28,16,NORMAL
2018-08-19,Vila Mariana,-23.5895,-46.6346,63,40,57,12,8,38,8,17,NORMAL
2018-09-11,Vila Mariana,-23.5895,-46.6346,2,37,49,9,4,20,9,23,NORMAL
2019-09-21,Vila Mariana,-23.5895,-46.6346,32,65,51,41,10,43,5,43,REABASTECER
2019-11-01,Vila Mariana,-23.5895,-46.6346,56,23,55,7,11,8,20,43,NORMAL
2019-12-12,Vila Mariana,-23.5895,-46.6346,86,46,41,10,15,7,12,23,NORMAL
2018-01-25,Brooklin,-23.6263,-46.6878,27,34,10,43,40,2,27,29,REABASTECER
2018-02-11,Brooklin,-23.6263,-46.6878,47,13,39,31,18,7,34,8,NORMAL
2018-03-23,Brooklin,-23.6263,-46.6878,69,6,7,29,26,6,43,22,REABASTECER
2018-03-26,Brooklin,-23.6263,-46.6878,42,52,46,16,15,42,30,11,NORMAL
2018-07-19,Brooklin,-23.6263,-46.6878,79,14,25,14,40,16,13,31,NORMAL
2018-12-17,Brooklin,-23.6263,-46.6878,36,8,27,1,39,22,27,21,REABASTECER
2019-05-05,Brooklin,-23.6263,-46.6878,43,34,24,18,6,28,2,29,REABASTECER
2019-06-29,Brooklin,-23.6263,-46.6878,22,41,48,31,22,43,10,6,REABASTECER
