Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET,row
12/30/19,Fradique Coutinho,-23.5661,-46.6841,35386,24,45,61,42,19,22,15,9,NORMAL,10800
1/8/18,Luz,-23.5365,-46.6332,124806,15,10,10,29,10,25,14,13,NORMAL,10808
4/17/18,Luz,-23.5365,-46.6332,125215,53,1,55,18,18,6,37,8,REABASTECER,10907
7/18/18,Luz,-23.5365,-46.6332,126476,36,5,57,38,15,43,43,18,REABASTECER,10998
8/28/18,Luz,-23.5365,-46.6332,125917,79,10,8,37,32,30,18,15,NORMAL,11038
10/5/18,Sé,-23.55,-46.6333,193894,12,23,38,8,6,8,14,6,REABASTECER,3875
9/1/19,Luz,-23.5365,-46.6332,127370,86,63,65,7,6,33,32,9,NORMAL,11401
2/1/19,Luz,-23.5365,-46.6332,127523,32,39,55,43,25,18,18,15,NORMAL,11191
4/7/19,Luz,-23.5365,-46.6332,126574,86,24,58,30,18,31,19,7,NORMAL,11257
8/28/19,Luz,-23.5365,-46.6332,125128,22,13,25,13,19,38,40,18,NORMAL,11398
6/21/18,Ana Rosa,-23.5813,-46.6383,66170,70,62,21,43,9,23,39,17,NORMAL,11691
7/7/18,Ana Rosa,-23.5813,-46.6383,66088,86,39,33,5,31,17,27,40,REABASTECER,11707
10/5/19,Luz,-23.5365,-46.6332,124826,79,8,43,14,31,22,1,27,REABASTECER,11435
11/13/19,Luz,-23.5365,-46.6332,125825,66,63,53,23,43,25,22,9,NORMAL,11473
10/25/18,Ana Rosa,-23.5813,-46.6383,66637,30,47,49,17,19,43,15,34,NORMAL,11815
4/28/18,Ana Rosa,-23.5813,-46.6383,64636,74,57,60,40,13,13,3,13,REABASTECER,11638
5/22/19,Ana Rosa,-23.5813,-46.6383,66834,7,25,15,4,40,8,22,18,REABASTECER,12022
12/13/18,Brás,-23.5451,-46.6162,73634,12,53,65,30,39,6,24,35,REABASTECER,4663
1/26/18,São Joaquim,-23.5618,-46.6389,36046,7,29,65,20,22,43,23,36,REABASTECER,12266
3/21/18,São Joaquim,-23.5618,-46.6389,35531,9,24,18,23,26,41,18,35,REABASTECER,12321
10/28/19,Ana Rosa,-23.5813,-46.6383,63791,77,57,14,38,15,2,43,43,NORMAL,12178
9/6/18,São Joaquim,-23.5618,-46.6389,34051,11,28,33,21,16,41,35,28,REABASTECER,12486
9/19/18,São Joaquim,-23.5618,-46.6389,33994,41,15,15,22,3,20,28,24,REABASTECER,12499
3/14/18,São Joaquim,-23.5618,-46.6389,33016,75,57,65,43,8,20,3,22,REABASTECER,12314
4/19/18,Barra Funda,-23.5542,-46.6707,149180,49,28,40,23,31,37,21,29,NORMAL,5149
5/21/18,Barra Funda,-23.5542,-46.6707,150059,77,10,9,43,40,19,34,26,REABASTECER,5181
7/9/18,Barra Funda,-23.5542,-46.6707,150658,38,47,50,32,15,37,31,12,NORMAL,5229
12/23/18,São Joaquim,-23.5618,-46.6389,35770,38,22,29,21,36,43,28,36,NORMAL,12593
5/8/19,São Joaquim,-23.5618,-46.6389,33939,13,53,54,38,43,38,43,37,NORMAL,12728
5/24/18,São Judas,-23.6255,-46.6411,13753,9,52,17,35,31,36,7,3,REABASTECER,13104
6/16/18,São Judas,-23.6255,-46.6411,16482,62,42,51,43,27,25,16,40,NORMAL,13126
7/19/19,Barra Funda,-23.5542,-46.6707,149702,22,57,3,10,11,22,25,14,NORMAL,5599
8/10/19,Barra Funda,-23.5542,-46.6707,146759,86,52,65,38,7,4,24,15,REABASTECER,5620
1/5/18,São Judas,-23.6255,-46.6411,15923,57,47,41,29,27,26,24,25,NORMAL,12965
2/5/18,São Judas,-23.6255,-46.6411,16973,32,2,24,31,37,23,22,27,REABASTECER,12995
1/25/19,São Judas,-23.6255,-46.6411,15925,11,15,43,24,10,27,43,10,REABASTECER,13345
4/7/18,Tatuapé,-23.5402,-46.5765,69855,86,55,36,8,2,26,23,29,NORMAL,5857
5/7/18,Tatuapé,-23.5402,-46.5765,70535,70,55,27,28,43,8,31,43,NORMAL,5887
7/23/18,São Judas,-23.6255,-46.6411,17403,44,8,53,9,12,33,3,24,NORMAL,13163
6/30/18,Tatuapé,-23.5402,-46.5765,69422,64,12,22,27,39,27,43,20,NORMAL,5940
11/21/19,São Judas,-23.6255,-46.6411,14294,30,42,58,28,24,37,17,14,NORMAL,13641
1/7/18,Vila Mariana,-23.5895,-46.6346,24823,25,30,22,35,19,21,23,20,NORMAL,13687
1/17/18,Vila Mariana,-23.5895,-46.6346,23482,13,32,12,2,26,38,27,15,REABASTECER,13697
3/8/19,Tatuapé,-23.5402,-46.5765,68700,53,10,19,4,12,43,40,28,REABASTECER,6188
3/24/19,Tatuapé,-23.5402,-46.5765,69455,73,8,49,35,35,35,22,13,REABASTECER,6204
4/13/18,Vila Mariana,-23.5895,-46.6346,23651,54,24,14,37,36,16,3,19,REABASTECER,13783
5/28/18,Vila Mariana,-23.5895,-46.6346,22515,60,65,33,29,41,43,33,37,NORMAL,13828
3/20/18,Vila Mariana,-23.5895,-46.6346,23049,17,37,38,13,43,43,37,26,NORMAL,13760
4/2/18,Vila Mariana,-23.5895,-46.6346,21590,79,34,25,23,38,43,41,20,NORMAL,13772
